Date,Value
1991-Q1,1.923
1991-Q2,1.911
1991-Q3,2.042
1991-Q4,2.069
1992-Q1,2.043
1992-Q2,2.089
1992-Q3,2.118
1992-Q4,2.040
1993-Q1,2.050
1993-Q2,2.113
1993-Q3,2.065
1993-Q4,2.098
1994-Q1,2.100
1994-Q2,2.091
1994-Q3,2.099
1994-Q4,2.148
1995-Q1,2.119
1995-Q2,2.153
1995-Q3,2.303
1995-Q4,2.240
1996-Q1,2.213
1996-Q2,2.216
1996-Q3,2.267
1996-Q4,2.193
1997-Q1,2.313
1997-Q2,2.269
1997-Q3,2.217
1997-Q4,2.081
1998-Q1,2.276
1998-Q2,2.258
1998-Q3,2.289
1998-Q4,2.308
1999-Q1,2.246
1999-Q2,2.305
1999-Q3,2.365
1999-Q4,2.392
2000-Q1,2.379
2000-Q2,2.344
2000-Q3,2.399
2000-Q4,2.456
2001-Q1,2.417
2001-Q2,2.448
2001-Q3,2.449
2001-Q4,2.543
2002-Q1,2.530
2002-Q2,2.559
2002-Q3,2.551
2002-Q4,2.528
2003-Q1,2.625
2003-Q2,2.667
2003-Q3,2.697
2003-Q4,2.529
2004-Q1,2.667
2004-Q2,2.604
2004-Q3,2.624
2004-Q4,2.572
2005-Q1,2.622
2005-Q2,2.680
2005-Q3,2.672
2005-Q4,2.541
2006-Q1,2.833
2006-Q2,2.824
2006-Q3,2.766
2006-Q4,2.865
2007-Q1,2.889
2007-Q2,2.955
2007-Q3,3.021
2007-Q4,3.056
2008-Q1,2.955
2008-Q2,3.192
2008-Q3,3.144
2008-Q4,3.251
2009-Q1,3.241
2009-Q2,3.320
2009-Q3,3.479
2009-Q4,3.484
2010-Q1,3.499
2010-Q2,3.485
2010-Q3,3.586
2010-Q4,3.700
2011-Q1,3.678
2011-Q2,3.767
2011-Q3,3.658
2011-Q4,3.587
2012-Q1,3.863
2012-Q2,3.919
2012-Q3,3.960
2012-Q4,3.966
2013-Q1,3.925
2013-Q2,4.021
2013-Q3,3.972
2013-Q4,4.040
2014-Q1,4.133
2014-Q2,4.068
2014-Q3,4.148
2014-Q4,4.253
2015-Q1,4.203
2015-Q2,4.399
2015-Q3,4.386
2015-Q4,4.429
2016-Q1,4.701
2016-Q2,4.756
2016-Q3,4.733
2016-Q4,4.438
2017-Q1,4.747
2017-Q2,4.822
2017-Q3,4.837
2017-Q4,4.910
2018-Q1,4.991
2018-Q2,5.093
2018-Q3,5.122
2018-Q4,5.364
2019-Q1,5.193
2019-Q2,5.239
2019-Q3,5.436
2019-Q4,5.538
2020-Q1,5.398
2020-Q2,5.454
2020-Q3,5.551
2020-Q4,5.632
2021-Q1,5.856
2021-Q2,5.657
2021-Q3,5.993
2021-Q4,6.058
2022-Q1,6.397
2022-Q2,6.152
2022-Q3,6.491
2022-Q4,6.981
2023-Q1,6.489
2023-Q2,6.407
2023-Q3,6.618
2023-Q4,6.761
2024-Q1,6.824
2024-Q2,7.068
2024-Q3,7.108
2024-Q4,7.035
2025-Q1,7.164
2025-Q2,7.466
