Date,Value
1991-Q1,2.338
1991-Q2,2.607
1991-Q3,2.696
1991-Q4,2.508
1992-Q1,2.670
1992-Q2,2.658
1992-Q3,2.597
1992-Q4,2.562
1993-Q1,2.597
1993-Q2,2.405
1993-Q3,2.409
1993-Q4,2.326
1994-Q1,2.200
1994-Q2,2.105
1994-Q3,1.959
1994-Q4,2.155
1995-Q1,2.004
1995-Q2,1.997
1995-Q3,2.080
1995-Q4,2.271
1996-Q1,1.996
1996-Q2,2.004
1996-Q3,2.199
1996-Q4,2.099
1997-Q1,2.030
1997-Q2,1.998
1997-Q3,1.934
1997-Q4,1.922
1998-Q1,2.105
1998-Q2,2.001
1998-Q3,2.055
1998-Q4,2.132
1999-Q1,2.523
1999-Q2,2.607
1999-Q3,2.682
1999-Q4,2.598
2000-Q1,2.418
2000-Q2,2.432
2000-Q3,2.482
2000-Q4,2.544
2001-Q1,2.488
2001-Q2,2.309
2001-Q3,2.292
2001-Q4,2.405
2002-Q1,2.924
2002-Q2,3.059
2002-Q3,2.904
2002-Q4,2.646
2003-Q1,2.490
2003-Q2,2.871
2003-Q3,2.722
2003-Q4,2.445
2004-Q1,2.615
2004-Q2,2.429
2004-Q3,2.346
2004-Q4,2.421
2005-Q1,2.280
2005-Q2,2.439
2005-Q3,3.395
2005-Q4,3.053
2006-Q1,3.144
2006-Q2,3.324
2006-Q3,3.038
2006-Q4,3.531
2007-Q1,2.625
2007-Q2,2.581
2007-Q3,2.550
2007-Q4,2.750
2008-Q1,2.932
2008-Q2,2.976
2008-Q3,2.821
2008-Q4,2.770
2009-Q1,3.167
2009-Q2,3.574
2009-Q3,3.533
2009-Q4,3.451
2010-Q1,3.815
2010-Q2,3.683
2010-Q3,4.018
2010-Q4,3.415
2011-Q1,3.843
2011-Q2,3.678
2011-Q3,3.957
2011-Q4,3.537
2012-Q1,4.190
2012-Q2,3.410
2012-Q3,3.444
2012-Q4,3.757
2013-Q1,3.080
2013-Q2,3.721
2013-Q3,3.648
2013-Q4,3.818
2014-Q1,3.334
2014-Q2,3.542
2014-Q3,3.674
2014-Q4,3.447
2015-Q1,3.611
2015-Q2,3.627
2015-Q3,3.734
2015-Q4,4.653
2016-Q1,4.307
2016-Q2,3.884
2016-Q3,3.935
2016-Q4,4.424
2017-Q1,4.189
2017-Q2,4.780
2017-Q3,4.714
2017-Q4,4.197
2018-Q1,5.552
2018-Q2,4.881
2018-Q3,5.022
2018-Q4,5.040
2019-Q1,4.585
2019-Q2,6.179
2019-Q3,5.525
2019-Q4,4.708
2020-Q1,4.960
2020-Q2,7.786
2020-Q3,5.970
2020-Q4,5.567
2021-Q1,5.920
2021-Q2,6.258
2021-Q3,5.266
2021-Q4,5.739
2022-Q1,5.829
2022-Q2,5.444
2022-Q3,6.913
2022-Q4,5.753
2023-Q1,5.541
2023-Q2,5.566
2023-Q3,6.360
2023-Q4,7.256
2024-Q1,6.200
2024-Q2,6.916
2024-Q3,6.276
2024-Q4,7.206
2025-Q1,7.654
2025-Q2,6.450
