Date,Value
1991-Q1,0.317
1991-Q2,0.319
1991-Q3,0.317
1991-Q4,0.314
1992-Q1,0.341
1992-Q2,0.335
1992-Q3,0.328
1992-Q4,0.328
1993-Q1,0.314
1993-Q2,0.307
1993-Q3,0.310
1993-Q4,0.300
1994-Q1,0.246
1994-Q2,0.244
1994-Q3,0.239
1994-Q4,0.239
1995-Q1,0.219
1995-Q2,0.217
1995-Q3,0.205
1995-Q4,0.196
1996-Q1,0.225
1996-Q2,0.242
1996-Q3,0.234
1996-Q4,0.229
1997-Q1,0.241
1997-Q2,0.239
1997-Q3,0.233
1997-Q4,0.229
1998-Q1,0.221
1998-Q2,0.209
1998-Q3,0.206
1998-Q4,0.200
1999-Q1,0.198
1999-Q2,0.194
1999-Q3,0.192
1999-Q4,0.192
2000-Q1,0.196
2000-Q2,0.189
2000-Q3,0.183
2000-Q4,0.179
2001-Q1,0.186
2001-Q2,0.182
2001-Q3,0.178
2001-Q4,0.177
2002-Q1,0.176
2002-Q2,0.169
2002-Q3,0.167
2002-Q4,0.166
2003-Q1,0.162
2003-Q2,0.164
2003-Q3,0.163
2003-Q4,0.162
2004-Q1,0.117
2004-Q2,0.117
2004-Q3,0.113
2004-Q4,0.110
2005-Q1,0.114
2005-Q2,0.118
2005-Q3,0.117
2005-Q4,0.117
2006-Q1,0.113
2006-Q2,0.124
2006-Q3,0.125
2006-Q4,0.128
2007-Q1,0.139
2007-Q2,0.133
2007-Q3,0.131
2007-Q4,0.130
2008-Q1,0.188
2008-Q2,0.180
2008-Q3,0.175
2008-Q4,0.174
2009-Q1,0.169
2009-Q2,0.169
2009-Q3,0.165
2009-Q4,0.165
2010-Q1,0.135
2010-Q2,0.146
2010-Q3,0.140
2010-Q4,0.135
2011-Q1,0.193
2011-Q2,0.193
2011-Q3,0.188
2011-Q4,0.188
2012-Q1,0.150
2012-Q2,0.147
2012-Q3,0.145
2012-Q4,0.140
2013-Q1,0.131
2013-Q2,0.134
2013-Q3,0.135
2013-Q4,0.133
2014-Q1,0.178
2014-Q2,0.167
2014-Q3,0.165
2014-Q4,0.164
2015-Q1,0.161
2015-Q2,0.158
2015-Q3,0.159
2015-Q4,0.158
2016-Q1,0.187
2016-Q2,0.186
2016-Q3,0.186
2016-Q4,0.188
2017-Q1,0.277
2017-Q2,0.284
2017-Q3,0.284
2017-Q4,0.288
2018-Q1,0.214
2018-Q2,0.219
2018-Q3,0.224
2018-Q4,0.229
2019-Q1,0.240
2019-Q2,0.240
2019-Q3,0.245
2019-Q4,0.250
2020-Q1,0.278
2020-Q2,0.271
2020-Q3,0.263
2020-Q4,0.283
2021-Q1,0.288
2021-Q2,0.306
2021-Q3,0.314
2021-Q4,0.324
2022-Q1,0.323
2022-Q2,0.333
2022-Q3,0.339
2022-Q4,0.341
2023-Q1,0.474
2023-Q2,0.485
2023-Q3,0.483
2023-Q4,0.476
2024-Q1,0.532
2024-Q2,0.533
2024-Q3,0.538
2024-Q4,0.541
2025-Q1,0.528
2025-Q2,0.529
